,question,context,context_len,options,answer,answer_idx,explanation,facts,patient,specialty
1,Which of the following is the most likely diagnosis?,"['A 5-year-old girl is brought to the emergency department by her mother because of multiple episodes of nausea and vomiting that last about 2 hours.', 'During this period, she has had 6–8 episodes of bilious vomiting and abdominal pain.', 'The vomiting was preceded by fatigue.', 'The girl feels well between these episodes.', 'She has missed several days of school and has been hospitalized 2 times during the past 6 months for dehydration due to similar episodes of vomiting and nausea.', 'The patient has lived with her mother since her parents divorced 8 months ago.', 'Her immunizations are up-to-date.', 'She is at the 60th percentile for height and 30th percentile for weight.', 'She appears emaciated.', 'Her temperature is 36.8°C (98.8°F), pulse is 99/min, and blood pressure is 82/52 mm Hg.', 'Examination shows dry mucous membranes.', 'The lungs are clear to auscultation.', 'Abdominal examination shows a soft abdomen with mild diffuse tenderness with no guarding or rebound.', 'The remainder of the physical examination shows no abnormalities.']",14,"{'A': 'Cyclic vomiting syndrome', 'B': 'Gastroenteritis', 'C': 'Hypertrophic pyloric stenosis', 'D': 'Gastroesophageal reflux disease'}",Cyclic vomiting syndrome,A,,"['1. A 5-year-old girl is brought to the emergency department by her mother.', '2. She has had multiple episodes of nausea and vomiting that last about 2 hours.', '3. During this period, she has had 6–8 episodes of bilious vomiting and abdominal pain.', '4. The vomiting was preceded by fatigue.', '5. She feels well between these episodes.', '6. She has missed several days of school and has been hospitalized 2 times during the past 6 months for dehydration due to similar episodes of vomiting and nausea.', '7. The patient has lived with her mother since her parents divorced 8 months ago.', '8. Her immunizations are up-to-date.', '9. She is at the 60th percentile for height and 30th percentile for weight.', '10. She appears emaciated.', '11. Her temperature is 36.8°C (98.8°F), pulse is 99/min, and blood pressure is 82/52 mm Hg.', '12. Examination shows dry mucous membranes.', '13. The lungs are clear to auscultation.', '14. Abdominal examination shows a soft abdomen with mild diffuse tenderness with no guarding or rebound.', '15. The remainder of the physical examination shows no abnormalities.']","{'gender': 'Female', 'age': '5 years old', 'specialties': ['Pediatrics'], 'subspecialties': ['General Pediatrics', 'Gastroenterology'], 'specialty_prob': [1.0], 'subspecialty_prob': [0.8, 0.2], 'gpt_specialty': 'Pediatrics'}",Pediatrics
11,What is the most likely etiology of this patient’s presentation?,"['A 4-year-old boy presents to the office with his mother.', 'She states that the patient has been complaining of pain in his scrotum with swelling, abdominal pain, and nausea for the last 2 or 3 days.', 'On exam, the abdomen is soft and nontender to palpation.', 'The right scrotal sac is mildly enlarged without erythema.', 'A tender mass is palpated in the right scrotal area.', 'The mass does not transilluminate when a penlight is applied.', 'The patient is afebrile and all vital signs are stable.']",7,"{'A': 'Patent processus vaginalis', 'B': 'Collection of fluid in the tunica vaginalis', 'C': 'Infection of the epididymis', 'D': 'Neoplasm of the testicle'}",Patent processus vaginalis,A,,"['1. A 4-year-old boy presents to the office with his mother.', '2. The patient has been complaining of pain in his scrotum with swelling, abdominal pain, and nausea for the last 2 or 3 days.', '3. On exam, the abdomen is soft and nontender to palpation.', '4. The right scrotal sac is mildly enlarged without erythema.', '5. A tender mass is palpated in the right scrotal area.', '6. The mass does not transilluminate when a penlight is applied.', '7. The patient is afebrile.', '8. All vital signs are stable.']","{'gender': 'Male', 'age': '4 years old', 'specialties': ['Pediatrics'], 'subspecialties': ['Pediatric Urology', 'General Pediatrics'], 'specialty_prob': [1.0], 'subspecialty_prob': [0.8, 0.2], 'gpt_specialty': 'Pediatrics'}",Pediatrics
12,What is the most likely explanation for the patient’s presentation?,"['A 17-month-old girl was brought to the emergency department by her mom following a fall.', 'The mom reports that the patient was playing in the playground when she tripped and fell onto the mulch.', 'She had an uncomplicated birth history and has been meeting developmental goals except for language delay, for which she is to receive a hearing test for further evaluation next week.', 'Physical exam reveals bruising along the left lateral thigh, knee, and elbow; all lab tests are within normal limits.', 'Radiograph shows a fracture of the olecranon.', 'Serum chemistry and liver panels were within normal limits.']",6,"{'A': 'Child abuse', 'B': 'Defective type 1 collagen gene', 'C': 'Low levels of phosphate', 'D': 'Low levels of vitamin D'}",Defective type 1 collagen gene,B,,"['1. A 17-month-old girl was brought to the emergency department by her mom.', '2. The mom reports that the patient was playing in the playground when she tripped and fell onto the mulch.', '3. She had an uncomplicated birth history.', '4. She has been meeting developmental goals except for language delay.', '5. She is to receive a hearing test for further evaluation next week.', '6. Physical exam reveals bruising along the left lateral thigh, knee, and elbow.', '7. All lab tests are within normal limits.', '8. Radiograph shows a fracture of the olecranon.', '9. Serum chemistry and liver panels were within normal limits.']","{'gender': 'Female', 'age': '17 months', 'specialties': ['Pediatrics'], 'subspecialties': ['Child Abuse Pediatrics', 'Pediatric Emergency Medicine'], 'specialty_prob': [1.0], 'subspecialty_prob': [0.6, 0.4], 'gpt_specialty': 'Pediatrics'}",Pediatrics
14,Which of the following is the next best diagnostic step?,"['A 15-year-old girl is brought to the clinic by her mother because she is worried the patient has not yet had her period.', 'The patient’s older sister had her first period at age 14.', 'The mother had her first period at age 13.', 'The patient reports she is doing well in school and is on the varsity basketball team.', 'Her medical history is significant for asthma and atopic dermatitis.', 'Her medications include albuterol and topical triamcinolone.', 'The patient’s temperature is 98°F (36.7°C), blood pressure is 111/72 mmHg, pulse is 65/min, and respirations are 14/min with an oxygen saturation of 99% on room air.', 'Her body mass index (BMI) is 19 kg/m^2.', 'Physical exam shows absent breast development and external genitalia at Tanner stage 1.', 'Serum follicle stimulating hormone (FSH) level is measured to be 38 mIU/mL.']",10,"{'A': 'CYP17 gene work-up', 'B': 'Estrogen levels', 'C': 'Gonadotrophin-releasing hormone stimulation test', 'D': 'Karotype'}",Karotype,D,,"['1. Patient is 15 years old.', ""2. Patient's mother brought her to the clinic."", ""3. Patient's mother is worried because patient has not had her period."", ""4. Patient's older sister had her first period at age 14."", ""5. Patient's mother had her first period at age 13."", '6. Patient reports she is doing well in school.', '7. Patient is on the varsity basketball team.', '8. Patient has a medical history of asthma and atopic dermatitis.', ""9. Patient's medications include albuterol and topical triamcinolone."", ""10. Patient's temperature is 98°F (36.7°C)."", ""11. Patient's blood pressure is 111/72 mmHg."", ""12. Patient's pulse is 65/min."", ""13. Patient's respirations are 14/min."", ""14. Patient's oxygen saturation is 99% on room air."", ""15. Patient's BMI is 19 kg/m^2."", '16. Physical exam shows absent breast development and external genitalia at Tanner stage 1.', '17. Serum follicle stimulating hormone (FSH) level is measured to be 38 mIU/mL.']","{'gender': 'Female', 'age': '15 years old', 'specialties': ['Pediatrics', 'Obstetrics and Gynecology'], 'subspecialties': ['Pediatric Endocrinology', 'Pediatric Gynecology'], 'specialty_prob': [0.8, 0.2], 'subspecialty_prob': [0.8, 0.2], 'gpt_specialty': 'Pediatrics'}",Pediatrics
15,Further evaluation is most likely to show which of the following findings?,"['A 15-month-old girl is brought to the physician by her mother for grossly bloody diarrhea for 2 days.', 'The girl has had a few episodes of blood-tinged stools over the past 3 weeks.', 'She has not had pain, nausea, or vomiting.', 'She is at the 55th percentile for height and 55th percentile for weight.', 'Examination shows conjunctival pallor.', 'The abdomen is soft and nontender.', 'There is a small amount of dark red blood in the diaper.', 'Her hemoglobin concentration is 9.5 g/dL, mean corpuscular volume is 68 μm3, and platelet count is 300,000/mm3.']",8,"{'A': 'Neutrophil infiltrated crypts on colonic biopsy', 'B': 'Absent ganglionic cells on rectal suction biopsy', 'C': 'Target sign on abdominal ultrasound', 'D': 'Ectopic gastric mucosa on Technetium-99m pertechnetate scan'}",Ectopic gastric mucosa on Technetium-99m pertechnetate scan,D,,"['1. A 15-month-old girl is brought to the physician by her mother.', '2. She has had grossly bloody diarrhea for 2 days.', '3. She has had a few episodes of blood-tinged stools over the past 3 weeks.', '4. She has not had pain, nausea, or vomiting.', '5. She is at the 55th percentile for height.', '6. She is at the 55th percentile for weight.', '7. Examination shows conjunctival pallor.', '8. The abdomen is soft and nontender.', '9. There is a small amount of dark red blood in the diaper.', '10. Her hemoglobin concentration is 9.5 g/dL.', '11. Her mean corpuscular volume is 68 μm3.', '12. Her platelet count is 300,000/mm3.']","{'gender': 'Female', 'age': '15 months', 'specialties': ['Pediatrics'], 'subspecialties': ['Pediatric Gastroenterology'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Pediatrics'}",Pediatrics
19,Which of the following is the most important risk factor for the development of this condition?,"['A 12-month-old girl is brought to the physician because she is unable to sit and has not learned how to crawl.', 'She keeps her hips and elbows flexed and her parents have to use considerable force to passively extend her joints.', 'She attained neck control at 4 months and could roll from front to back at 5 months of age.', 'She does not engage in play, reach for toys, or maintain eye contact.', 'She babbles and does not mimic sounds.', 'She does not follow simple instructions.', 'She has difficulty swallowing solid foods and often coughs at meal times.', 'Her maternal cousin has Down syndrome.', 'Her vital signs are within normal limits.', 'She is at the 25th percentile for length and 10th percentile for weight.', 'Neurological examination shows increased muscle tone in all extremities.', 'The ankle clonus and extensor plantar responses are present bilaterally.', 'The Moro reflex is present.', 'An MRI of the head shows periventricular leukomalacia.']",14,"{'A': 'Premature birth', 'B': 'Congenital rubella infection', 'C': 'Congenital CMV infection', 'D': 'Advanced maternal age'}",Premature birth,A,,"['1. Patient is a 12-month-old girl.', '2. Patient is unable to sit and has not learned how to crawl.', '3. Patient keeps hips and elbows flexed and parents have to use considerable force to passively extend her joints.', '4. Patient attained neck control at 4 months and could roll from front to back at 5 months of age.', '5. Patient does not engage in play, reach for toys, or maintain eye contact.', '6. Patient babbles and does not mimic sounds.', '7. Patient does not follow simple instructions.', '8. Patient has difficulty swallowing solid foods and often coughs at meal times.', ""9. Patient's maternal cousin has Down syndrome."", ""10. Patient's vital signs are within normal limits."", '11. Patient is at the 25th percentile for length and 10th percentile for weight.', '12. Neurological examination shows increased muscle tone in all extremities.', '13. Ankle clonus and extensor plantar responses are present bilaterally.', '14. Moro reflex is present.', '15. MRI of the head shows periventricular leukomalacia.']","{'gender': 'Female', 'age': '12 months', 'specialties': ['Pediatrics'], 'subspecialties': ['Developmental'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Pediatrics'}",Pediatrics
23,Which of the following is the most likely diagnosis?,"['A 4-year-old boy is brought to the physician because of a progressive rash for 2 days.', 'The rash started behind the ears and now involves the trunk and extremities.', 'Over the past 4 days, he has had mild sore throat, red, itchy eyes, and headache.', 'He was born at term and has been healthy except for recurrent episodes of tonsillitis and occasional asthma attacks.', 'Two weeks ago, he was treated for tonsillitis that resolved with penicillin therapy.', 'He immigrated with his family from Brazil 3 weeks ago.', 'His immunization status is unknown.', 'The patient appears weak and lethargic.', 'His temperature is 38°C (100.4°F), pulse is 100/min, and blood pressure is 100/60 mm Hg.', 'Examination shows postauricular and suboccipital lymphadenopathy.', 'There is a non-confluent, pink maculopapular rash over the torso and extremities.', 'His palms and soles show no abnormalities.']",12,"{'A': 'Rubella', 'B': 'Allergic drug reaction', 'C': 'Scarlet fever', 'D': 'Erythema infectiosum'}",Rubella,A,,"['1. Patient is a 4-year-old boy.', '2. Patient has had a progressive rash for 2 days.', '3. Rash started behind the ears and now involves the trunk and extremities.', '4. Patient has had mild sore throat, red, itchy eyes, and headache for 4 days.', '5. Patient was born at term and has had recurrent episodes of tonsillitis and occasional asthma attacks.', '6. Patient was treated for tonsillitis 2 weeks ago and it resolved with penicillin therapy.', '7. Patient immigrated with his family from Brazil 3 weeks ago.', ""8. Patient's immunization status is unknown."", '9. Patient appears weak and lethargic.', ""10. Patient's temperature is 38°C (100.4°F)."", ""11. Patient's pulse is 100/min."", ""12. Patient's blood pressure is 100/60 mm Hg."", '13. Examination shows postauricular and suboccipital lymphadenopathy.', '14. Patient has a non-confluent, pink maculopapular rash over the torso and extremities.', ""15. Patient's palms and soles show no abnormalities.""]","{'gender': 'Male', 'age': '4 years old', 'specialties': ['Pediatrics', 'Dermatology'], 'subspecialties': ['General Pediatrics', 'Pediatric Dermatology'], 'specialty_prob': [0.6, 0.4], 'subspecialty_prob': [0.6, 0.4], 'gpt_specialty': 'Dermatology'}",Pediatrics
26,The child likely has:,"['A 3-year-old Cuban-American male has a history of recurrent Pseudomonas and Candida infections.', 'Laboratory analysis reveals no electrolyte abnormalities.', 'Examination of his serum shows decreased levels of IgG and CT scan reveals the absence of a thymus.']",3,"{'A': 'Severe combined immunodeficiency syndrome', 'B': 'DiGeorge syndrome', 'C': 'Isolated IgA deficiency', 'D': 'Common variable immunodeficiency'}",Severe combined immunodeficiency syndrome,A,,"['1. Patient is a 3-year-old Cuban-American male.', '2. Patient has a history of recurrent Pseudomonas and Candida infections.', '3. Laboratory analysis reveals no electrolyte abnormalities.', ""4. Examination of patient's serum shows decreased levels of IgG."", '5. CT scan reveals the absence of a thymus.']","{'gender': 'Male', 'age': '3 years old', 'specialties': ['Pediatrics', 'Allergy and Immunology'], 'subspecialties': ['Immunology', 'Immunology and Allergy', 'General Allergy and Immunology'], 'specialty_prob': [0.6666666666666666, 0.3333333333333333], 'subspecialty_prob': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333], 'gpt_specialty': 'Allergy and Immunology'}",Pediatrics
27,"Which of the following is the most likely underlying cause of the patient's condition?""","['A 7-year-old girl is brought to the physician for evaluation of recurrent epistaxis.', 'Her mother reports that she bruises easily while playing.', 'Her pulse is 89/min and blood pressure is 117/92 mm Hg.', 'Examination shows multiple bruises in the upper and lower extremities.', 'Laboratory studies show: | Platelet count 100,000/mm3 | Prothrombin time 12 seconds | Partial thromboplastin time 33 seconds | Bleeding time 13 minutes | A peripheral blood smear shows enlarged platelets.', 'Ristocetin assay shows no platelet aggregation.']",6,"{'A': 'Glycoprotein Ib deficiency', 'B': 'Vitamin K deficiency', 'C': 'Von Willebrand factor deficiency', 'D': 'ADAMTS13 deficiency'}",Glycoprotein Ib deficiency,A,,"['1. A 7-year-old girl is brought to the physician for evaluation of recurrent epistaxis.', '2. Her mother reports that she bruises easily while playing.', '3. Her pulse is 89/min.', '4. Her blood pressure is 117/92 mm Hg.', '5. Examination shows multiple bruises in the upper and lower extremities.', '6. Laboratory studies show a platelet count of 100,000/mm3.', '7. Prothrombin time is 12 seconds.', '8. Partial thromboplastin time is 33 seconds.', '9. Bleeding time is 13 minutes.', '10. A peripheral blood smear shows enlarged platelets.', '11. Ristocetin assay shows no platelet aggregation.']","{'gender': 'Female', 'age': '7 years old', 'specialties': ['Pediatrics'], 'subspecialties': ['Pediatric Hematology'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Otolaryngology'}",Pediatrics
29,Which of the following features are not associated of Waardenburg’s syndrome?,"['A 35-year-old female presents to your office for a routine physical.', 'She informs you that she is pregnant, and that the father of her child has Waardenburg’s syndrome.', 'She asks you about common findings in Waardenburg’s syndrome.']",3,"{'A': 'Heterochromia', 'B': 'Conductive hearing loss', 'C': 'Lateral displacement of inner canthi', 'D': 'Broad nasal root'}",Conductive hearing loss,B,,"['1. A 35-year-old female presents to your office for a routine physical.', '2. She informs you that she is pregnant.', ""3. The father of her child has Waardenburg's syndrome."", ""4. She asks you about common findings in Waardenburg's syndrome.""]","{'gender': 'Female', 'age': '35', 'specialties': ['Pediatrics'], 'subspecialties': ['General Pediatrics', 'Clinical Genetics and Genomics'], 'specialty_prob': [1.0], 'subspecialty_prob': [0.6666666666666666, 0.3333333333333333], 'gpt_specialty': 'Medical Genetics and Genomics'}",Pediatrics
